"Format","MoTeC CSV File",,,"Workbook",""
"Venue","spa",,,"Worksheet",""
"Vehicle","ferrari_458_gt2",,,"Vehicle Desc",""
"Driver","Communist Pingu",,,"Engine ID",""
"Device","ADL"
"Comment","Tires: Slick Soft (S)",,,"Session","RACE"
"Log Date","04/03/2024",,,"Origin Time","143.485","s"
"Log Time","18:57:00",,,"Start Time","143.500","s"
"Sample Rate","20.000","Hz",,"End Time","281.400","s"
"Duration","137.900","s",,"Start Distance","6839","m"
"Range","Lap 2",,,"End Distance","13781","m"


"Time","Distance","ABS Active","ABS Enabled","AID Allow Tire Blankets","AID Auto Blip","AID Auto Clutch","AID Auto Shift","AID Fuel Rate","AID Ideal Line","AID Mech Damage","AID Stability","AID Tire Wear Rate","Air Density","Air Temp","Ballast","Best Lap Delta","Best Lap Time","Brake Bias","Brake Pos","Brake Temp FL","Brake Temp FR","Brake Temp RL","Brake Temp RR","CG Accel Lateral","CG Accel Longitudinal","CG Accel Vertical","CG Height","Camber FL","Camber FR","Camber RL","Camber RR","Car Coord X","Car Coord Y","Car Coord Z","Car Damage Front","Car Damage Left","Car Damage Rear","Car Damage Right","Car Pos Norm","Caster FL","Caster FR","Chassis Pitch Angle","Chassis Pitch Rate","Chassis Roll Angle","Chassis Roll Rate","Chassis Velocity X","Chassis Velocity Y","Chassis Velocity Z","Chassis Yaw Rate","Clutch Pos","DRS Active","DRS Available","Drive Train Speed","ERS Heat Charging","ERS Is Charging","ERS Max Energy","ERS Power Level","ERS Recovery Level","Engine Brake Setting","Engine Limiter","Engine RPM","Flags","Fuel Level","Gear","Ground Speed","HR Sample Clock","In Pit","KERS Charge","KERS Deployed Energy","KERS Input","KERS Max Energy","LR Sample Clock","Lap Invalidated","Lap Time","Lap Time2","Last Lap Time","Last Sector Time","MR Sample Clock","Max Fuel","Max Power","Max RPM","Max Sus Travel FL","Max Sus Travel FR","Max Sus Travel RL","Max Sus Travel RR","Max Torque","Max Turbo Boost","Num Tires Off Track","Penalties Enabled","Position","Raw Data Sample Rate","Ride Height FL","Ride Height FR","Ride Height RL","Ride Height RR","Road Temp","Self Align Torque FL","Self Align Torque FR","Self Align Torque RL","Self Align Torque RR","Session Lap Count","Session Time Left","Steering Angle","Surface Grip","Suspension Travel FL","Suspension Travel FR","Suspension Travel RL","Suspension Travel RR","TC Active","TC Enabled","Throttle Pos","Tire Dirt Level FL","Tire Dirt Level FR","Tire Dirt Level RL","Tire Dirt Level RR","Tire Load FL","Tire Load FR","Tire Load RL","Tire Load RR","Tire Loaded Radius FL","Tire Loaded Radius FR","Tire Loaded Radius RL","Tire Loaded Radius RR","Tire Pressure FL","Tire Pressure FR","Tire Pressure RL","Tire Pressure RR","Tire Radius FL","Tire Radius FR","Tire Radius RL","Tire Radius RR","Tire Rubber Grip FL","Tire Rubber Grip FR","Tire Rubber Grip RL","Tire Rubber Grip RR","Tire Slip Angle FL","Tire Slip Angle FR","Tire Slip Angle RL","Tire Slip Angle RR","Tire Slip Ratio FL","Tire Slip Ratio FR","Tire Slip Ratio RL","Tire Slip Ratio RR","Tire Temp Core FL","Tire Temp Core FR","Tire Temp Core RL","Tire Temp Core RR","Tire Temp Inner FL","Tire Temp Inner FR","Tire Temp Inner RL","Tire Temp Inner RR","Tire Temp Middle FL","Tire Temp Middle FR","Tire Temp Middle RL","Tire Temp Middle RR","Tire Temp Outer FL","Tire Temp Outer FR","Tire Temp Outer RL","Tire Temp Outer RR","Toe In FL","Toe In FR","Toe In RL","Toe In RR","Turbo Boost","Wheel Angular Speed FL","Wheel Angular Speed FR","Wheel Angular Speed RL","Wheel Angular Speed RR","Wind Direction","Wind Speed"
"s","m","","","","","","","","","%","%","","kg/m3","C","kg","s","s","%","%","C","C","C","C","G","G","G","mm","deg","deg","deg","deg","m","m","m","","","","","","deg","deg","deg","deg/s","deg","deg/s","m/s","m/s","m/s","deg/s","%","","","rad/s","","","MJ","","","","","rpm","","l","","km/h","","","%","kJ","%","MJ","","","s","s","s","s","","l","hp","rpm","mm","mm","mm","mm","N.m","","","","","Hz","mm","mm","mm","mm","C","N.m","N.m","N.m","N.m","","s","deg","%","mm","mm","mm","mm","","","%","","","","","N","N","N","N","mm","mm","mm","mm","psi","psi","psi","psi","mm","mm","mm","mm","%","%","%","%","deg","deg","deg","deg","%","%","%","%","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","deg","deg","deg","deg","","rad/s","rad/s","rad/s","rad/s","deg","km/h"


"0.000","0","0","0","1","0","1","0","1","0","0","0","1","1.25530","9","0","0.000","143.49","62","0.00","9","9","9","9","0.047","0.4158","0.0543","340.13","-2.344","-2.321","-2.789","-2.564","245.6","-623.7","19.13","0","0","0","0","0.0006","-11.3432","-11.3432","0.712","3.13","-1.119","-0.03","45.51","0.069","-0.3110","0.36","100.00","0","0","130.32","0","0","0","0","0","0","0.0000","6927","0.0000","20.685","3.0000","163.79","0.0000","0","0","0","0","0","1.0000","0","0.02","0.02","143.49","62.77","0.0000","110","416.77542","8300","89.999996000","89.999996000","89.999996000","89.999996000","466","0","0.0000","0","2.0000","66.667","63.48","63.48","57.95","57.95","14","-6.81","5.96","-14.3","22.92","1.000","-143.5","1.30","100","21.913","21.817","32.94","33.86","0.0000","1","100.00","0.0000","0.0000","0.0000","0.0000","3509","3551","5110","5131","316.314","316.219","342.283","342.300","25.7675","25.936","25.8756","26.0304","324.999988000","324.999988000","354.999989000","354.999989000","99.8262","99.9464","99.8776","99.8721","0.131","-0.148","0.207","-0.041","-0.04","-0.04","1.87","1.88","68.297","88.097","68.972","69.940","63.202","95.10","65.440","68.746","60.364","90.27","61.863","64.985","57.410","86.41","58.617","61.668","-0.014","-0.228","-0.1634","-0.1659","0","139.56","139.53","130.24","130.24","47","5"
"0.050","2","0","0","1","0","1","0","1","0","0","0","1","1.25530","9","0","0.000","143.49","62","0.00","9","9","9","9","-0.010","0.3211","0.1030","339.82","-2.690","-2.251","-3.036","-2.829","246.9","-625.7","19.17","0","0","0","0","0.0009","-11.3432","-11.3432","0.754","-1.45","-1.128","0.15","45.71","0.027","-0.3064","1.07","100.00","0","0","130.73","0","0","0","0","0","0","0.0000","6949","0.0000","20.683","3.0000","164.53","1.0000","0","0","0","0","0","1.0000","0","0.07","0.07","143.49","37.98","1.0000","110","416.77542","8300","89.999996000","89.999996000","89.999996000","89.999996000","466","0","0.0000","0","1.0000","55.556","65.50","65.50","55.40","55.40","14","-12.04","3.50","-19.7","17.84","1.000","-143.5","1.30","100","19.569","19.377","37.62","37.23","0.0000","1","100.00","0.0000","0.0000","0.0000","0.0000","4025","3450","4635","4569","315.342","316.520","343.255","343.615","25.7648","25.936","25.8741","26.0298","324.999988000","324.999988000","354.999989000","354.999989000","99.8262","99.9464","99.8777","99.8722","0.097","-0.187","0.131","-0.124","-0.05","-0.04","1.72","1.73","68.280","88.102","68.963","69.936","63.152","95.01","65.431","68.731","60.316","90.18","61.853","64.971","57.365","86.33","58.608","61.655","-0.024","-0.239","-0.1791","-0.1773","0","140.08","139.99","130.46","130.46","47","5"
"0.100","5","0","0","1","0","1","0","1","0","0","0","1","1.25530","9","0","0.090","143.49","62","0.00","9","9","9","9","-0.047","0.4096","-0.0313","341.91","-2.371","-2.229","-2.772","-2.545","248.2","-627.6","19.22","0","0","0","0","0.0012","-11.3432","-11.3432","0.702","-0.63","-1.089","0.68","45.90","-0.006","-0.3543","1.33","100.00","0","0","131.52","0","0","0","0","0","0","0.0000","6991","0.0000","20.682","3.0000","165.22","0.0000","0","0","0","0","0","1.0000","0","0.12","0.12","143.49","37.98","0.0000","110","416.77542","8300","89.999996000","89.999996000","89.999996000","89.999996000","466","0","0.0000","0","1.0000","55.556","65.57","65.57","59.99","59.99","14","-10.41","1.25","-20.4","12.25","1.000","-143.6","0.65","100","20.463","19.540","32.79","33.29","0.0000","1","100.00","0.0000","0.0000","0.0000","0.0000","3585","3225","4866","4818","316.230","316.996","342.944","343.051","25.7624","25.937","25.8723","26.0288","324.999988000","324.999988000","354.999989000","354.999989000","99.8262","99.9464","99.8778","99.8722","0.062","-0.229","0.085","-0.181","-0.04","-0.04","1.93","2.04","68.265","88.107","68.951","69.930","63.102","94.91","65.414","68.712","60.269","90.09","61.838","64.954","57.321","86.24","58.594","61.638","-0.037","-0.223","-0.1622","-0.1636","0","140.68","140.55","131.48","131.48","47","5"
"0.150","7","0","0","1","0","1","0","1","0","0","0","1","1.25530","9","0","0.090","143.49","62","0.00","9","9","9","9","-0.029","0.3773","-0.0778","343.45","-2.550","-2.377","-2.683","-2.596","249.4","-629.4","19.26","0","0","0","0","0.0015","-11.3432","-11.3432","0.617","-2.44","-1.033","1.13","46.09","-0.031","-0.3935","0.83","100.00","0","0","132.09","0","0","0","0","0","0","0.0000","7021","0.0000","20.680","3.0000","165.88","1.0000","0","0","0","0","0","1.0000","0","0.17","0.17","143.49","37.98","1.0000","110","416.77542","8300","89.999996000","89.999996000","89.999996000","89.999996000","466","0","0.0000","0","1.0000","66.667","67.35","67.35","60.87","60.87","14","-7.19","4.46","-18.9","9.99","1.000","-143.6","0.00","100","19.143","18.238","32.54","32.58","0.0000","1","100.00","0.0000","0.0000","0.0000","0.0000","3160","3226","4463","4315","317.056","317.031","343.713","344.176","25.7598","25.938","25.8706","26.0278","324.999988000","324.999988000","354.999989000","354.999989000","99.8262","99.9464","99.8778","99.8723","0.127","-0.173","0.062","-0.203","-0.05","-0.07","1.96","2.03","68.249","88.110","68.942","69.924","63.048","94.81","65.399","68.692","60.218","89.99","61.824","64.935","57.273","86.15","58.581","61.621","-0.130","-0.141","-0.1614","-0.1614","0","141.16","141.06","131.93","131.93","47","5"
"0.200","9","0","0","1","0","1","0","1","0","0","0","1","1.25530","9","0","0.090","143.49","62","0.00","9","9","9","9","-0.026","0.3910","-0.1672","345.66","-2.287","-2.368","-2.664","-2.438","250.7","-631.4","19.31","0","0","0","0","0.0019","-11.3432","-11.3432","0.493","-2.60","-1.022","-0.23","46.28","-0.039","-0.4189","0.36","100.00","0","0","132.79","0","0","0","0","0","0","0.0000","7059","0.0000","20.678","3.0000","166.56","0.0000","0","0","0","0","0","1.0000","0","0.22","0.22","143.49","37.98","0.0000","110","416.77542","8300","89.999996000","89.999996000","89.999996000","89.999996000","466","0","0.0000","0","1.0000","55.556","68.47","68.47","63.97","63.97","14","-6.56","3.86","-17.4","9.30","1.000","-143.7","0.00","100","17.531","17.757","29.32","29.07","0.0000","1","100.00","0.0000","0.0000","0.0000","0.0000","3203","3167","4388","4247","317.075","317.246","344.026","344.636","25.7568","25.938","25.8686","26.0266","324.999988000","324.999988000","354.999989000","354.999989000","99.8262","99.9464","99.8779","99.8724","0.113","-0.184","0.066","-0.180","-0.06","-0.05","2.18","2.20","68.230","88.113","68.929","69.916","62.996","94.71","65.383","68.669","60.168","89.90","61.808","64.914","57.226","86.06","58.566","61.602","-0.140","-0.139","-0.1515","-0.1508","0","141.69","141.66","132.72","132.72","47","5"
"0.250","12","0","0","1","0","1","0","1","0","0","0","1","1.25530","9","0","0.240","143.49","62","0.00","9","9","9","9","-0.025","0.3841","-0.0268","344.64","-2.418","-2.512","-2.292","-2.324","252.0","-633.4","19.34","0","0","0","0","0.0022","-11.3432","-11.3432","0.432","0.96","-1.024","0.11","46.46","-0.036","-0.4287","0.19","100.00","0","0","133.45","0","0","0","0","0","0","0.0000","7094","0.0000","20.677","3.0000","167.24","1.0000","0","0","0","0","0","1.0000","0","0.27","0.27","143.49","37.98","1.0000","110","416.77542","8300","89.999996000","89.999996000","89.999996000","89.999996000","466","0","0.0000","0","1.0000","55.556","64.40","64.40","66.65","66.65","14","-10.89","6.22","-13.4","8.49","1.000","-143.8","0.00","100","20.031","19.168","27.31","27.62","0.0000","1","100.00","0.0000","0.0000","0.0000","0.0000","4098","3876","4178","4079","314.862","315.387","344.606","344.885","25.7544","25.939","25.8665","26.0253","324.999988000","324.999988000","354.999989000","354.999989000","99.8263","99.9464","99.8780","99.8725","0.093","-0.178","0.067","-0.171","-0.04","-0.05","2.21","2.23","68.215","88.118","68.915","69.909","62.946","94.61","65.363","68.645","60.121","89.81","61.790","64.891","57.182","85.97","58.550","61.581","-0.129","-0.133","-0.1460","-0.1469","0","142.43","142.40","133.37","133.37","47","5"
"0.300","14","0","0","1","0","1","0","1","0","0","0","1","1.25530","9","0","0.240","143.49","62","0.00","9","9","9","9","-0.030","0.3874","0.0395","342.13","-2.422","-2.427","-2.646","-2.626","253.3","-635.2","19.38","0","0","0","0","0.0026","-11.3432","-11.3432","0.542","2.03","-0.980","1.36","46.65","-0.029","-0.3461","0.10","100.00","0","0","133.33","0","0","0","0","0","0","0.0000","7087","0.0000","20.675","3.0000","167.91","0.0000","0","0","0","0","0","1.0000","0","0.32","0.32","143.49","37.98","0.0000","110","416.77542","8300","89.999996000","89.999996000","89.999996000","89.999996000","466","0","0.0000","0","1.0000","66.667","64.95","64.95","61.23","61.23","14","-9.64","4.71","-22.4","16.75","1.000","-143.8","0.00","100","20.625","19.601","31.02","30.48","0.0000","1","100.00","0.0000","0.0000","0.0000","0.0000","3732","3498","4887","5027","315.719","316.373","342.750","342.431","25.7521","25.940","25.8649","26.0244","324.999988000","324.999988000","354.999989000","354.999989000","99.8263","99.9464","99.8781","99.8725","0.095","-0.184","0.044","-0.143","-0.05","-0.05","1.81","1.82","68.201","88.123","68.906","69.903","62.893","94.51","65.348","68.622","60.071","89.71","61.776","64.870","57.135","85.88","58.538","61.562","-0.127","-0.131","-0.1578","-0.1566","0","143.01","143.00","133.32","133.32","47","5"
